,Co_Code,Symbol,IdxStart_Date,IdxEnd_Date,StockChange,IndexChange,StkSDate,FirstClose,StkEDate,LastClose,Index,IndexDate,TypeTorB,IndexDaysDifference,IndexClose
37,700,RSWM,2001-09-21,2004-01-09,395.93,137.03,2001-09-21,6.15,2004-01-09,30.5,NIFTY,2004-01-09,Top,840.0,1971.9
38,700,RSWM,2004-01-09,2004-05-17,-9.44,-35.86,2004-01-09,30.5,2004-05-17,27.62,NIFTY,2004-05-17,Bottom,129.0,1388.75
39,700,RSWM,2004-05-17,2006-05-11,213.94,192.07,2004-05-17,27.62,2006-05-11,86.71,NIFTY,2006-05-11,Top,724.0,3701.05
40,700,RSWM,2006-05-11,2006-06-14,-32.22,-31.23,2006-05-11,86.71,2006-06-14,58.77,NIFTY,2006-06-14,Bottom,34.0,2632.8
41,700,RSWM,2006-06-14,2008-01-08,126.32,144.91,2006-06-14,58.77,2008-01-08,133.01,NIFTY,2008-01-08,Top,573.0,6287.85
42,700,RSWM,2008-01-08,2008-10-27,-83.79,-64.56,2008-01-08,133.01,2008-10-27,21.56,NIFTY,2008-10-27,Bottom,293.0,2524.2
43,700,RSWM,2008-10-27,2015-03-04,556.45,304.8,2008-10-27,21.56,2015-03-04,141.53,NIFTY,2015-03-04,Top,2319.0,8922.65
44,700,RSWM,2015-03-04,2016-02-29,22.69,-25.15,2015-03-04,141.53,2016-02-29,173.64,NIFTY,2016-02-29,Bottom,362.0,6987.05
45,700,RSWM,2016-02-29,2020-01-20,-63.02,82.11,2016-02-29,173.64,2020-01-20,64.21,NIFTY,2020-01-20,Top,1421.0,12224.55
46,700,RSWM,2020-01-20,2020-03-24,-41.41,-39.58,2020-01-20,64.21,2020-03-24,37.62,NIFTY,2020-03-24,Bottom,64.0,7801.05
47,700,RSWM,2020-03-24,2024-09-27,459.62,249.85,2020-03-24,37.62,2024-09-27,210.53,NIFTY,2024-09-27,Top,1648.0,26178.95
48,700,RSWM,2024-09-27,2025-03-04,-36.85,-16.41,2024-09-27,210.53,2025-03-04,132.95,NIFTY,2025-03-04,Bottom,158.0,22082.65
